Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Hofmann C., Rothenberg N.R.","57202676902;35106023700;","Interim performance measures and private information",2013,"Accounting Review","88","5",,"1683","1714",,3,"10.2308/accr-50484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886261960&doi=10.2308%2faccr-50484&partnerID=40&md5=b6746ed8dd31dcec21d6b9b0ff37e1cd","Ludwig-Maximilians-University of Munich, Germany; University of Alberta, Canada","Hofmann, C., Ludwig-Maximilians-University of Munich, Germany; Rothenberg, N.R., University of Alberta, Canada","This study investigates whether having an upstream or downstream agent privately observe an interim performance measure and disseminating this measure to the other agent is valuable to the principal. The signal is informative about the upstream agent's action and positively correlated with output. If the upstream agent privately observes the signal, then there can be a higher cost of the downstream agent if the signal is sufficiently forward-looking. If the downstream agent privately observes the signal, then the trade-off involves rents to the downstream agent versus a reduced cost for the upstream agent. Private observation of an interim signal is valuable to the principal if it is not too forward-looking. The choice between upstream and downstream agent depends nontrivially on the signal's backward-looking quality. The results suggest that the value of observation and dissemination of an interim signal depends on the informativeness of output and the signal about upstream and downstream production.","Asymmetric information; Interim performance measures; Principal-agent theory",,Article,"Final","",Scopus,2-s2.0-84886261960
"Dou Y., Hope O.-K., Thomas W.B.","56273698300;6506561141;55429819400;","Relationship-specificity, contract enforceability, and income smoothing",2013,"Accounting Review","88","5",,"1629","1656",,53,"10.2308/accr-50489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886068082&doi=10.2308%2faccr-50489&partnerID=40&md5=8b1a830892209877b65730577b1c9395","New York University, United States; University of Toronto, Canada; University of Oklahoma, United States","Dou, Y., New York University, United States; Hope, O.-K., University of Toronto, Canada; Thomas, W.B., University of Oklahoma, United States","Contracting parties, such as the firm and its supplier, have cost-reducing incentives to make investments that support the unique transactions between them. However, to the extent that one party may renege on its contractual obligations, the other party incurring the cost of the relationship-specific investment bears additional risk and is less willing to invest such that sub-optimal investment occurs. In countries where enforceability of explicit contracts is particularly weak, parties have incentives to signal their willingness to fulfill implicit claims and maintain long-term relationships. We predict that firms engage in income smoothing to send such a signal to their suppliers. Consistent with these expectations, we find that firms that both reside in countries with weak contract enforceability and operate in industries with a greater need for relationship-specific investments tend to smooth reported income more. We further decompose income smoothing into ""informational"" and ""garbled"" components and find that results are driven by the informational component of income smoothing. Our results support the important role that accruals play in providing information in the presence of incomplete contracts.","Contract enforceability; Income smoothing; Informational component; International; Legal protection; Relationship-specific investments",,Article,"Final","",Scopus,2-s2.0-84886068082
"Hope O.-K., Thomas W.B., Vyas D.","6506561141;55429819400;36700631600;","Financial reporting quality of U.S. private and public firms",2013,"Accounting Review","88","5",,"1715","1742",,119,"10.2308/accr-50494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885966433&doi=10.2308%2faccr-50494&partnerID=40&md5=9c148d8b6cef1e57524f7124b7079ae9","University of Toronto, Canada; University of Oklahoma, United States; University of Minnesota, Twin Cities, United States","Hope, O.-K., University of Toronto, Canada; Thomas, W.B., University of Oklahoma, United States; Vyas, D., University of Minnesota, Twin Cities, United States","Using a new database that contains accounting data for a large sample of U.S. private firms, we provide an investigation of financial reporting quality (FRQ) of U.S. private versus public firms. We find that in general public firms have higher accrual quality and are more conservative. The results are consistent with public firms' reporting reflecting greater demand for financial information. However, these reporting qualities of public firms are mitigated or eliminated in settings where public firms are more likely to manage earnings or face reduced demand for their financial information. Our study contributes not only to the current debate on private versus public financial accounting, but also to the broader literature attempting to understand the determinants of FRQ.","Demand; Financial reporting quality; Mitigating factors; Opportunism; Private firms; Public versus private",,Article,"Final","",Scopus,2-s2.0-84885966433
"Hunton J.E., Gold A.","7004658591;35573403800;","Erratum: A field experiment comparing the outcomes of three fraud brainstorming procedures: Nominal group, round robin, and open discussion (Accounting Review (2010) 85:3 (911-935) DOI: 10/2308/accr.2010.85.3.911)",2013,"Accounting Review","88","1",,"357","",,3,"10.2308/accr-10326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880129170&doi=10.2308%2faccr-10326&partnerID=40&md5=c6d781ce1a1e729aaffdcd3b25647fba","Bentley University and Erasmus University, United States; Erasmus University, Netherlands","Hunton, J.E., Bentley University and Erasmus University, United States; Gold, A., Erasmus University, Netherlands",[No abstract available],,,Erratum,"Final","",Scopus,2-s2.0-84880129170
"Bradley Bennett G., Hatfield R.C.","57215738934;8287866400;","The effect of the social mismatch between staff auditors and client management on the collection of audit evidence",2013,"Accounting Review","88","1",,"31","50",,46,"10.2308/accr-50286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880118648&doi=10.2308%2faccr-50286&partnerID=40&md5=35864108a7de720b6c3ee5a036e4b7eb","University of Massachusetts, United States; University of Alabama, United States","Bradley Bennett, G., University of Massachusetts, United States; Hatfield, R.C., University of Alabama, United States","This study provides both survey and experimental evidence to consider how social interactions between staff-level auditors and client management may affect staff auditors' perceptions and influence their decisions regarding the collection of audit evidence. During fieldwork, staff-level auditors have extensive interaction with client management. Survey evidence suggests that these staff-level auditors are often ""mismatched"" with client management, in terms of their experience, age, and accounting knowledge. Experimental results indicate that staff-level auditors may reduce the extent to which they collect evidence to avoid these interactions. Finally, the use of email communication with client management helped to mitigate the reduction in evidence collected caused by avoiding in-person interactions. Interestingly, when not collecting all the evidence, approximately half of the participants documented their findings in a vague or inappropriate manner, which would likely reduce the likelihood that reviewing auditors would identify a problem. Given the extent of audit evidence collected by young staff auditors, these findings have direct implications for workpaper and audit quality. © 2013 American Accounting Association.","Audit documentation; Audit environment; Audit evidence; Audit quality; Auditor-client relationship; Intimidation; Staff-level auditor",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-84880118648
"Naiker V., Navissi F., Truong C.","12789400800;12789140100;24339601000;","Options trading and the cost of equity capital",2013,"Accounting Review","88","1",,"261","295",,13,"10.2308/accr-50275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880113726&doi=10.2308%2faccr-50275&partnerID=40&md5=bba48f65d103777dd193b0d2fc2e92f4","Monash University, Australia","Naiker, V., Monash University, Australia; Navissi, F., Monash University, Australia; Truong, C., Monash University, Australia","This study examines how options trading affects the rate of return expected by investors, i.e., the implied cost of equity capital. Our cross-sectional analysis suggests that firms with listed options have lower implied cost of equity capital than firms without listed options, while the results from our temporal difference-indifferences analysis suggest that firms with listed options experience a significant decrease in their implied cost of equity capital relative to a matched sample of firms without listed options following an options listing. Moreover, we find that within firms that have listed options, firms with higher options trading volume are associated with lower implied cost of equity capital. These findings, which are robust to a wide range of additional tests, are consistent with the view that options trading improves the precision of information and reduces information asymmetry problems, resulting in lower expected return on equity. © 2013 American Accounting Association.","Implied cost of equity capital; Information asymmetry; Options listing; Options trading volume",,Article,"Final","",Scopus,2-s2.0-84880113726
"Tafkov I.D.","36162114100;","Private and public relative performance information under different compensation contracts",2013,"Accounting Review","88","1",,"327","350",,56,"10.2308/accr-50292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880106161&doi=10.2308%2faccr-50292&partnerID=40&md5=46a51c93d2e853cd02b6a34b7a4e55f5","Georgia State University, United States","Tafkov, I.D., Georgia State University, United States","This study investigates the conditions under which providing relative performance information to employees has a positive effect on performance when compensation is not tied to peer performance. Specifically, I investigate, via an experiment, the effect of relative performance information (present or absent) on performance under two compensation contracts (flat-wage or individual performance-based). Given the presence of relative performance information, I examine the effect of the type of relative performance information (private or public) on performance. Using theory from psychology, I predict and find that relative performance information positively affects performance under the two compensation contracts and that this positive effect is greater under an individual performance-based contract than under a flat-wage contract. I also predict and find that, although both public and private relative performance information have a positive effect on performance, the effect is greater when relative performance information is public. © 2013 American Accounting Association.","Compensation; Incentives; Performance; Relative performance information",,Article,"Final","",Scopus,2-s2.0-84880106161
"Davidson B.I., Stevens D.E.","55792510200;7401571713;","Can a code of ethics improve manager behavior and investor confidence? An experimental study",2013,"Accounting Review","88","1",,"51","74",,43,"10.2308/accr-50272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880106097&doi=10.2308%2faccr-50272&partnerID=40&md5=f36a795d90f5ec11be54ac93f2a78b28","Old Dominion University, United States; Adam Smith Research Foundation, Florida State University, United States","Davidson, B.I., Old Dominion University, United States; Stevens, D.E., Adam Smith Research Foundation, Florida State University, United States","Policy makers and corporations have recently emphasized a code of ethics as an effective aspect of corporate governance. The corporate governance literature in accounting, however, provides little empirical or theoretical support for this emphasis. We address this gap between public policy and the literature by studying the effectiveness of a code of ethics in an experimental setting. Using Bicchieri's (2006) model of social norm activation, we predict that a code of ethics will improve manager return behavior and investor confidence to the extent that it activates social norms that control opportunistic behavior. Further, we predict that adding a certification choice whereby the manager can publicly certify that he will adhere to the code will enhance the potential for the code of ethics to activate such norms. We find that a code of ethics only improves manager return behavior and investor confidence when the code incorporates a public certification choice by the manager. When the code is present but there is no certification choice, manager return behavior does not improve and investor confidence erodes over time because of increased expectations that are not met by managers. An analysis of individual return decisions and exit questionnaire responses supports the activation of social norms as the underlying mechanism behind our results. © 2013 American Accounting Association.","Certification; Code of ethics; Corporate governance; Social norm activation",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84880106097
"Banker R.D., Darrough M.N., Huang R., Plehn-Dujowich J.M.","55909613300;6602529908;37041966600;9043479800;","The relation between CEO compensation and past performance",2013,"Accounting Review","88","1",,"1","30",,52,"10.2308/accr-50274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880105725&doi=10.2308%2faccr-50274&partnerID=40&md5=2d43fdb69a8b34bfacedd0f5222e9965","Temple University, United States; Baruch College-CUNY, United States","Banker, R.D., Temple University, United States; Darrough, M.N., Baruch College-CUNY, United States; Huang, R., Baruch College-CUNY, United States; Plehn-Dujowich, J.M., Temple University, United States","This study focuses on the relation between current compensation and past performance measures as signals of a chief executive officer's (CEO's) ability. We develop a simple two-period principal-agent model with moral hazard and adverse selection and test theoretical predictions using CEO compensation data from 1993- 2006. Consistent with the predictions, we find that salary (bonus) is positively (negatively) associated with past performance for both continuing and newly hired CEOs. We also find that while current salary is positively associated with future performance, current bonus is not. As the model suggests, salary is adjusted to meet the reservation utility and information rent, and is positively correlated over time to reflect ability. Bonus serves to address moral hazard and adverse selection by separating highability agents into riskier contracts. Our results indicate that it is important to disaggregate cash compensation into salary and bonus components to understand the dynamic interaction between incentives and performance. © 2013 American Accounting Association.","Adverse selection; Bonus; Executive compensation; Moral hazard; Past performance; Salary",,Review,"Final","",Scopus,2-s2.0-84880105725
"Kaplan S.E., Williams D.D.","7403238320;7406552130;","Do going concern audit reports protect auditors from litigation? A simultaneous equations approach",2013,"Accounting Review","88","1",,"199","232",,55,"10.2308/accr-50279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880105388&doi=10.2308%2faccr-50279&partnerID=40&md5=c15ed999f98f9b948940392bc0d2eb7d","Arizona State University, United States; Ohio State University, United States","Kaplan, S.E., Arizona State University, United States; Williams, D.D., Ohio State University, United States","Audit researchers have a long-standing interest in understanding whether issuing a going concern report to financially stressed clients protects auditors from litigation. An endogeneity issue arises, in that litigation risk affects the going concern decision and the going concern decision impacts auditor litigation risk. Using a simultaneous equations approach, we find a significant positive association between auditors' ex ante litigation risk and going concern reporting. By applying simultaneous equations, we also find a significant negative association between going concern reporting and auditor litigation, suggesting that auditors deter lawsuits by issuing going concern reports to their financially stressed clients. Our research further provides a more rigorous analysis of the relation between going concern reporting and lawsuit outcomes in the form of auditor litigation dismissals, small settlement amounts, and large settlement amounts. Our results indicate that when auditors are named in lawsuits, having issued a going concern report reduces the likelihood of large financial settlements. © 2013 American Accounting Association.","Audit reports; Auditor litigation; Auditor litigation settlements",,Article,"Final","",Scopus,2-s2.0-84880105388
"Kilic E., Lobo G.J., Ranasinghe T., Sivaramakrishnan K.","34974278000;10142124700;55791711800;7004735150;","The impact of SFAS 133 on income smoothing by banks through loan loss provisions",2013,"Accounting Review","88","1",,"233","260",,50,"10.2308/accr-50264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880103518&doi=10.2308%2faccr-50264&partnerID=40&md5=121f8a32f51fa30de7a5473b6e5274a9","University of Houston, United States; Singapore Management University, Singapore; Rice University, United States","Kilic, E., University of Houston, United States; Lobo, G.J., University of Houston, United States; Ranasinghe, T., Singapore Management University, Singapore; Sivaramakrishnan, K., Rice University, United States","We examine the impact of SFAS 133, Accounting for Derivative Instruments and Hedging Activities, on the reporting behavior of commercial banks and the informativeness of their financial statements. We argue that, because mandatory recognition of hedge ineffectiveness under SFAS 133 reduced banks' ability to smooth income through derivatives, banks that are more affected by SFAS 133 rely more on loan loss provisions to smooth income. We find evidence consistent with this argument. We also find that the increased reliance on loan loss provisions for smoothing income has impaired the informativeness of loan loss provisions for future loan defaults and bank stock returns. © 2013 American Accounting Association.","Derivatives; Hedging; Income smoothing; Loan loss provisions; SFAS 133",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84880103518
"Erkens D.H., Bonner S.E.","36713236700;7005887619;","The role of firm status in appointments of accounting financial experts to audit committees",2013,"Accounting Review","88","1",,"107","136",,40,"10.2308/accr-50261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880098759&doi=10.2308%2faccr-50261&partnerID=40&md5=2217be55885a277dc0b21c0f5b5efafa","University of Southern California, United States","Erkens, D.H., University of Southern California, United States; Bonner, S.E., University of Southern California, United States","Since 1999 regulators have attempted to improve the monitoring of financial reporting by exerting significant pressure on firms to appoint accounting financial experts (AFEs) to their audit committees. Yet, many firms have been reluctant to do so, which has made these firms more prone to financial reporting problems. We examine appointments of AFEs to the audit committees of S&P 1500 firms during the period 1999-2008 to explore whether concerns about the status of these experts discouraged firms from appointing them. We find that typical AFEs (CFOs and retired audit partners) have lower director status (board seats, trusteeships, social club memberships, and elite education) than other types of directors, and that this status gap is greater for higher status firms (larger, better connected, and more admired firms). Moreover, we find that higher status firms are less likely to appoint AFEs, suggesting that status-related concerns reduce the demand for accounting financial expertise on audit committees. © 2013 American Accounting Association.","Accounting financial experts; Audit committees; Director status; Firm status",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-84880098759
"Chiu P.-C., Teoh S.H., Tian F.","55791674600;7102202035;56895563300;","Board interlocks and earnings management contagion",2013,"Accounting Review","88","3",,"915","944",,120,"10.2308/accr-50369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880094740&doi=10.2308%2faccr-50369&partnerID=40&md5=0946bb6624d9ec5b3242a1fc1550d544","University of California, Irvine, United States; University of Hong Kong, Hong Kong","Chiu, P.-C., University of California, Irvine, United States; Teoh, S.H., University of California, Irvine, United States; Tian, F., University of Hong Kong, Hong Kong","We test whether earnings management spreads between firms via shared directors. We find that a firm is more likely to manage earnings when it shares a common director with a firm that is currently managing earnings and is less likely to manage earnings when it shares a common director with a non-manipulator. Earnings management contagion is stronger when the shared director has a leadership or accounting-relevant position (e.g., audit committee chair or member) on its board or the contagious firm's board. Irregularity contagion is stronger than error contagion. The board contagion effect is robust to controlling for endogenous matching of firms with directors, fixed firm/director effects, incidence of M&A, industry, and contagion via a common auditor or geographical proximity. These findings support the view that board monitoring plays a key role in the contagion and quality of firms' financial reports. © 2013 American Accounting Association.","Board interlocks; Board networks; Contagion; Earnings management; Governance; Restatements; Social networks",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84880094740
"Gu Z., Li Z., Yang Y.G.","8415408300;36606286500;37029154700;","Monitors or predators: The influence of institutional investors on sell-side analysts",2013,"Accounting Review","88","1",,"137","169",,50,"10.2308/accr-50263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880092327&doi=10.2308%2faccr-50263&partnerID=40&md5=1c8d52fbcfbb112c8b226ac28172aeec","University of Minnesota, United States; Shanghai University of Finance and Economics, China; Chinese University of Hong Kong, Hong Kong","Gu, Z., University of Minnesota, United States; Li, Z., Shanghai University of Finance and Economics, China; Yang, Y.G., Chinese University of Hong Kong, Hong Kong","Regulators and the investment community have been concerned that institutional investors pressure financial analysts through trading commission fees to issue optimistic opinions in support of their stock positions. We use a unique dataset that identifies mutual fund companies' allocation of trading commission fees to individual brokerages and provide direct evidence on this issue. In particular, we show that for stocks in which the fund companies have taken large positions, analysts are more optimistic in their stock recommendations when their brokerages receive trading commission fees from these fund companies. The relationship is stronger when the commission fee pressure is greater. The market reacts less favorably to the ""Strong Buy"" recommendations of analysts facing greater commission fee pressure. The funds also respond negatively to such recommendations in making portfolio adjustments. These results point to a source of analyst bias that has been little explored in the literature. © 2013 American Accounting Association.","Analyst optimism; Institutional investors; Stock recommendations; Trading commission fees",,Article,"Final","",Scopus,2-s2.0-84880092327
"Naiker V., Sharma D.S., Sharma V.D.","12789400800;15753042000;7404568418;","Do former audit firm partners on audit committees procure greater nonaudit services from the auditor?",2013,"Accounting Review","88","1",,"297","326",,21,"10.2308/accr-50271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880089288&doi=10.2308%2faccr-50271&partnerID=40&md5=66328d1f7ed272ce4f2bc4230055ba3b","Monash University, Australia; Kennesaw State University, United States","Naiker, V., Monash University, Australia; Sharma, D.S., Kennesaw State University, United States; Sharma, V.D., Kennesaw State University, United States","To address potential threats to auditor independence, the Sarbanes-Oxley Act of 2002 (SOX) requires the audit committee to pre-approve nonaudit services (NAS) procured from the auditor. However, the presence of a former audit firm partner (FAP) affiliated with the current auditor on the audit committee could undermine the audit committee's due diligence over the NAS pre-approval process. To alleviate such concerns, the Securities and Exchange Commission approved a three-year ""cooling-off"" period for appointing audit firm alumni as independent directors. Our analyses show that the presence of both affiliated and unaffiliated FAPs on audit committees does not lead to greater NAS procured from the auditor; rather, FAPs reduce NAS procured from the auditor. Moreover, NAS decline significantly following the appointment of FAPs to the audit committee. Further tests suggest the three-year cooling-off period may not be warranted and deserves further investigation. Our study raises important implications for regulators, policy makers, corporate boards, and future research. © 2013 American Accounting Association.","Alumni; Audit committee; Cooling-off period; Former partner; Independence; Nonaudit; Revolving-door",,Article,"Final","",Scopus,2-s2.0-84880089288
"Iskandar-Datta M., Jia Y.","6602437203;53879778000;","Valuation consequences of clawback provisions",2013,"Accounting Review","88","1",,"171","198",,39,"10.2308/accr-50262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879357393&doi=10.2308%2faccr-50262&partnerID=40&md5=52629484e1a63e9783e68bac74ffe339","Wayne State University, United States; Governors State University, United States","Iskandar-Datta, M., Wayne State University, United States; Jia, Y., Governors State University, United States","We investigate the degree to which including a clawback provision in executive compensation contracts is an effective governance mechanism by documenting the impact of clawback adoption on stock prices. We expect this ex post settling-up mechanism to be beneficial because it diminishes financial reporting risks. In support of our hypotheses, we find that the shareholders of adopting firms experience statistically significant positive stock-valuation consequences relative to propensity-score-matched control samples. Further, firms with previous financial restatements had the largest economic gains, suggesting that a clawback policy can be effective at curtailing incentives for earnings manipulation. Analysis of the bid-ask spread provides evidence that these provisions contribute to reducing financial reporting risk for restating firms, while non-restating firms experience no change in the spread. We find no evidence that clawback provisions entail costs in the form of higher CEO compensation following adoption nor do they influence the design of compensation contracts. © 2013 American Accounting Association.","Clawback provisions; Corporate governance; Executive compensation; Financial restatements",,Article,"Final","",Scopus,2-s2.0-84879357393
"Mola S., Rau P.R., Khorana A.","6701719713;7003915523;7003928026;","Is there life after the complete loss of analyst coverage?",2013,"Accounting Review","88","2",,"667","705",,43,"10.2308/accr-50330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876854614&doi=10.2308%2faccr-50330&partnerID=40&md5=2d3237ba0157a2a7bde20bd5e10ce6a4","U.S. Securities and Exchange Commission, United States; University of Cambridge, United Kingdom","Mola, S., U.S. Securities and Exchange Commission, United States; Rau, P.R., University of Cambridge, United Kingdom; Khorana, A.","This paper examines the value of sell-side analysts to covered firms by documenting the effects on firm performance and investor interest after a complete loss of analyst coverage for periods of at least one year. We find that analyst coverage adds value to a firm both because it reduces information asymmetries about the firm's future performance and because it maintains investor recognition for that firm's stock. After the introduction of regulations that curtailed the informational advantage of analysts in the early 2000s, the investor recognition role of analysts remains important. Firms that lose all analyst coverage continue to suffer a significant deterioration in bid-ask spreads, trading volumes, and institutional presence but do not show a significant difference in subsequent performance relative to covered peers. In addition, controlling for other factors, we find that firms that lose all analyst coverage for one year are significantly more likely to delist than their covered peers. Our results provide insight into the reasons why firms place so much importance on analyst coverage. © 2013 American Accounting Association.","Analyst coverage; Delisting prediction; Investor recognition",,Article,"Final","",Scopus,2-s2.0-84876854614
"Efendi J., Files R., Ouyang B., Swanson E.P.","18433626600;35223237700;55035396000;7101660559;","Executive turnover following option backdating allegations",2013,"Accounting Review","88","1",,"75","105",,17,"10.2308/accr-50273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875011469&doi=10.2308%2faccr-50273&partnerID=40&md5=b3acbe0309823ef027debd44ee596892","University of Texas, Arlington, United States; University of Texas, Dallas, United States; Pennsylvania State University, Great Valley, United States; Texas A and M University, United States","Efendi, J., University of Texas, Arlington, United States; Files, R., University of Texas, Dallas, United States; Ouyang, B., Pennsylvania State University, Great Valley, United States; Swanson, E.P., Texas A and M University, United States","We find that the likelihood of forced turnover in the CEO and CFO positions is significantly higher for firms in the aftermath of option backdating than in propensityscore matched control firms. Forced turnover occurs in about 36 percent of the accused firms. The forced turnover rates for CEOs and CFOs are similar and several times higher than normal. The displaced managers are further punished by the managerial labor market, as they are much less likely than control firm managers to be rehired at comparable positions. We also find that backdating firms restructure CEO compensation to rely less on stock options. Finally, we learn the higher turnover extends to the General Counsel. While boards are often viewed as unresponsive to criticisms involving executive compensation, they did respond quite decisively to option backdating allegations and the accompanying adverse publicity. © 2013 American Accounting Association.","Compensation; Corporate governance; Executive turnover; Managerial labor market; Option backdating",,Article,"Final","",Scopus,2-s2.0-84875011469
"Burnett B.M., Cripe B.M., Martin G.W., McAllister B.P.","56856598700;55510442900;55510373100;46061234000;","Audit quality and the trade-off between accretive stock repurchases and accrual-based earnings management",2012,"Accounting Review","87","6",,"1861","1884",,40,"10.2308/accr-50230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870569692&doi=10.2308%2faccr-50230&partnerID=40&md5=436075c354e90a1a417fc11057012c7d","Indiana University, United States; Northern Illinois University, United States; University of Colorado Colorado Springs, United States","Burnett, B.M., Indiana University, United States; Cripe, B.M., Northern Illinois University, United States; Martin, G.W., Indiana University, United States; McAllister, B.P., University of Colorado Colorado Springs, United States","We examine whether audit quality affects the trade-off between accrualbased and real earnings management. We hypothesize that firms motivated to manage earnings per share (EPS) to meet or beat consensus analysts' forecasts are more likely to engage in accretive stock repurchases (a form of real earnings management) when their ability to manage earnings through accruals is constrained by high audit quality. We find that firms with high audit quality are more likely to use accretive stock repurchases and less likely to use accrual-based earnings management to meet or beat consensus analysts' forecasts. Our results are robust to various controls for endogeneity concerns.","Audit industry specialization; Audit quality; Real earnings management; Stock repurchases",,Article,"Final","",Scopus,2-s2.0-84870569692
"Atwood T.J., Drake M.S., Myers J.N., Myers L.A.","6603793474;33367628600;7402996287;7202503868;","Home country tax system characteristics and corporate tax avoidance: International evidence",2012,"Accounting Review","87","6",,"1831","1860",,85,"10.2308/accr-50222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870565048&doi=10.2308%2faccr-50222&partnerID=40&md5=b27a60ddfdb581124cc6e55fee6761b9","Florida State University, United States; Brigham Young University, United States; University of Arkansas, United States","Atwood, T.J., Florida State University, United States; Drake, M.S., Brigham Young University, United States; Myers, J.N., University of Arkansas, United States; Myers, L.A., University of Arkansas, United States","We examine whether three tax system characteristics-required book-tax conformity, worldwide versus territorial approach, and perceived strength of enforcement-impact corporate tax avoidance across countries after controlling for firm-specific factors previously shown to be associated with tax avoidance (i.e., performance, size, operating costs, leverage, growth, the presence of multinational operations, and industry) and for other cross-country factors (i.e., statutory corporate tax rates, earnings volatility, and institutional factors). We find that, on average, firms avoid taxes less when required book-tax conformity is higher, a worldwide approach is used, and tax enforcement is perceived to be stronger. However, the relations between tax avoidance and all three tax systems characteristics are contextual and depend on the extent to which management compensation comes from variable pay, including bonuses, stock awards, and stock options.","Book-tax conformity; Managerial incentives; Tax avoidance; Tax systems",,Review,"Final","",Scopus,2-s2.0-84870565048
"Donelson D.C., McInnis J.M., Mergenthaler R.D., Yu Y.","36138697300;35069973500;16643084600;55731452400;","The timeliness of bad earnings news and litigation risk",2012,"Accounting Review","87","6",,"1967","1991",,36,"10.2308/accr-50221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870563446&doi=10.2308%2faccr-50221&partnerID=40&md5=33971f360a229f9fb7e4a6e772d6a50e","University of Texas, Austin, United States; University of Iowa, United States","Donelson, D.C., University of Texas, Austin, United States; McInnis, J.M., University of Texas, Austin, United States; Mergenthaler, R.D., University of Iowa, United States; Yu, Y., University of Texas, Austin, United States","This study investigates whether the timely revelation of bad earnings news is associated with a lower incidence of litigation. The timeliness of earnings news is captured by a new measure based on the evolution of the consensus analyst earnings forecast. Holding total bad earnings news and other determinants of litigation constant, we find that earlier revelation of bad earnings news lowers the likelihood of litigation. This result holds for both settled and dismissed lawsuits. Further, we reconcile our findings with prior work that measures timeliness using managerial warnings via press releases. These tests suggest our findings are attributable to the ability of our timeliness measure to capture bad earning news revealed through disclosure channels beyond press releases.","Analyst forecast; Disclosure; Earnings news; Securities litigation",,Article,"Final","",Scopus,2-s2.0-84870563446
"Lee S., Matsunaga S.R., Park C.W.","54583906200;7202964125;37062708100;","Management forecast accuracy and CEO turnover",2012,"Accounting Review","87","6",,"2095","2122",,54,"10.2308/accr-50220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870561578&doi=10.2308%2faccr-50220&partnerID=40&md5=9b7072ca90fd8d6ac96a464dd761a174","University of Illinois, Chicago, United States; University of Oregon, United States; University of Hong Kong, Hong Kong","Lee, S., University of Illinois, Chicago, United States; Matsunaga, S.R., University of Oregon, United States; Park, C.W., University of Hong Kong, Hong Kong","We investigate whether management forecast accuracy provides a signal regarding CEOs' abilitytoanticipate and respondto future eventsby examining the relation between management forecast errors and CEO turnover. We find that the probability of CEO turnover is positively related to the magnitude of absolute forecast errors when firm performance is poor and that this positive relation holds for both positive and negative forecast errors. Inaddition,wefind that the positive relation between CEO turnover and the absolute forecast errors is concentrated in the sample of less entrenched CEOs. Our findings indicate that boards of directors use management forecast accuracy as a signal of CEOs' managerial ability and that managers bear a cost for issuing inaccurate forecasts.","CEO ability; CEO turnover; Management forecast accuracy",,Article,"Final","",Scopus,2-s2.0-84870561578
"Liu X.G., Natarajan R.","55511689000;35616106100;","The effect of financial analysts' strategic behavior on analysts' forecast dispersion",2012,"Accounting Review","87","6",,"2123","2149",,11,"10.2308/accr-50212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870553252&doi=10.2308%2faccr-50212&partnerID=40&md5=466b2b9b0f48d7e0497fcb933787ac02","John Carroll University, United States; University of Texas, Dallas, United States","Liu, X.G., John Carroll University, United States; Natarajan, R., University of Texas, Dallas, United States","Financial analysts' forecast dispersion has been used in a variety of contexts in accounting and finance studies. In this study, we provide large sample evidence on the cross-sectional determinants of forecast dispersion and examine to what extent analysts' strategic behavior biases the observed dispersion from the dispersion of unmanaged forecasts. We propose a method to estimate the dispersion bias for each sample observation. We find that observed dispersion, on average, understates dispersion of unmanaged forecasts by 53.4 percent and this downward bias varies considerably across firms. We further discuss the implications of the significant cross-sectional variation in the bias in observed dispersion for studies that rely on dispersion to estimate constructs such as consensus and information quality as well as those that use dispersion directly in research design.","Dispersion; Earnings forecasts; Financial analysts",,Article,"Final","",Scopus,2-s2.0-84870553252
